Swappiness,Stress,Req/sec,Failed,Δpgmajfault,Δpswpin,Δpswpout,Slowdown
10,extreme,1554.95,0,0,0,0,0.717103443840638
10,high,1691.29,0,0,0,0,0.6592955672888742
10,moderate,1766.99,0,0,0,0,0.6310505435797599
100,extreme,1539.66,0,0,0,0,0.7242248288583193
100,high,1642.04,0,0,0,0,0.6790699373949477
100,moderate,1615.29,0,1,0,0,0.6903156708702461
60,extreme,1668.62,0,1,0,0,0.6682528077093647
60,high,1646.14,0,14,0,0,0.677378594773227
60,moderate,1632.81,0,12,0,0,0.682908605410305
baseline,baseline,1115.06,0,0,0,0,1.0
