Metric,Delta
allocstall_device,0
allocstall_dma32,0
allocstall_movable,0
allocstall_normal,0
balloon_deflate,0
balloon_inflate,0
balloon_migrate,0
compact_daemon_free_scanned,0
compact_daemon_migrate_scanned,0
compact_daemon_wake,0
compact_fail,0
compact_free_scanned,0
compact_isolated,0
compact_migrate_scanned,0
compact_stall,0
compact_success,0
cow_ksm,0
direct_map_level2_splits,0
direct_map_level3_splits,0
drop_pagecache,0
drop_slab,0
htlb_buddy_alloc_fail,0
htlb_buddy_alloc_success,0
ksm_swpin_copy,0
kswapd_high_wmark_hit_quickly,0
kswapd_inodesteal,0
kswapd_low_wmark_hit_quickly,0
nr_active_anon,-24
nr_active_file,677
nr_anon_pages,149177
nr_anon_transparent_hugepages,0
nr_bounce,0
nr_dirtied,326
nr_dirty,17
nr_dirty_background_threshold,-12406
nr_dirty_threshold,-24841
nr_file_hugepages,0
nr_file_pages,-21636
nr_file_pmdmapped,0
nr_foll_pin_acquired,0
nr_foll_pin_released,0
nr_free_cma,0
nr_free_pages,-124327
nr_inactive_anon,127380
nr_inactive_file,-588
nr_isolated_anon,0
nr_isolated_file,0
nr_kernel_misc_reclaimable,0
nr_kernel_stack,64
nr_mapped,82
nr_mlock,0
nr_page_table_pages,344
nr_sec_page_table_pages,0
nr_shmem,1
nr_shmem_hugepages,0
nr_shmem_pmdmapped,0
nr_slab_reclaimable,21
nr_slab_unreclaimable,-2227
nr_swapcached,-21726
nr_throttled_written,0
nr_unaccepted,0
nr_unevictable,0
nr_unstable,0
nr_vmscan_immediate_reclaim,0
nr_vmscan_write,0
nr_writeback,-44886
nr_writeback_temp,0
nr_written,45209
nr_zone_active_anon,-24
nr_zone_active_file,677
nr_zone_inactive_anon,127380
nr_zone_inactive_file,-588
nr_zone_unevictable,0
nr_zone_write_pending,-44884
nr_zspages,0
numa_foreign,0
numa_hit,481838
numa_interleave,0
numa_local,481838
numa_miss,0
numa_other,0
oom_kill,0
pageoutrun,0
pgactivate,623
pgalloc_device,0
pgalloc_dma32,0
pgalloc_movable,0
pgalloc_normal,482329
pgdeactivate,0
pgdemote_direct,0
pgdemote_khugepaged,0
pgdemote_kswapd,0
pgfault,914732
pgfree,357088
pginodesteal,0
pglazyfree,0
pglazyfreed,0
pgmajfault,3
pgmigrate_fail,0
pgmigrate_success,0
pgpgin,64
pgpgout,2100
pgrefill,0
pgreuse,383
pgrotated,44864
pgscan_anon,21719
pgscan_direct,0
pgscan_direct_throttle,0
pgscan_file,0
pgscan_khugepaged,0
pgscan_kswapd,0
pgskip_device,0
pgskip_dma32,0
pgskip_movable,0
pgskip_normal,0
pgsteal_anon,21719
pgsteal_direct,0
pgsteal_file,0
pgsteal_khugepaged,0
pgsteal_kswapd,0
pswpin,0
pswpout,0
slabs_scanned,0
swap_ra,0
swap_ra_hit,0
thp_collapse_alloc,0
thp_collapse_alloc_failed,0
thp_deferred_split_page,0
thp_fault_alloc,0
thp_fault_fallback,0
thp_fault_fallback_charge,0
thp_file_alloc,0
thp_file_fallback,0
thp_file_fallback_charge,0
thp_file_mapped,0
thp_migration_fail,0
thp_migration_split,0
thp_migration_success,0
thp_scan_exceed_none_pte,0
thp_scan_exceed_share_pte,0
thp_scan_exceed_swap_pte,0
thp_split_page,0
thp_split_page_failed,0
thp_split_pmd,0
thp_split_pud,0
thp_swpout,0
thp_swpout_fallback,0
thp_zero_page_alloc,0
thp_zero_page_alloc_failed,0
unevictable_pgs_cleared,0
unevictable_pgs_culled,0
unevictable_pgs_mlocked,0
unevictable_pgs_munlocked,0
unevictable_pgs_rescued,0
unevictable_pgs_scanned,0
unevictable_pgs_stranded,0
workingset_activate_anon,0
workingset_activate_file,0
workingset_nodereclaim,0
workingset_nodes,1
workingset_refault_anon,0
workingset_refault_file,0
workingset_restore_anon,0
workingset_restore_file,0
zone_reclaim_failed,0
